28,    廃棄物処理料,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,28
29,    広告宣伝費,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,29
30,    接待交際費,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,0.0%,0,0,-,0.0%,"50,000","50,000",100.0%,61.5%,30
31,    研究開発費,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,31
32,    アフターサービス費,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,32
33,    クレーム費,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,0.0%,0,0,-,0.0%,"1,000,000","1,000,000",100.0%,67.4%,33
34,    賃借料,"14,900","14,900","14,900",100.0%,100.0%,100.0%,"14,900","14,900",100.0%,100.0%,"44,700","44,700",100.0%,100.0%,"44,700","44,700",100.0%,100.0%,"89,400","89,400",100.0%,100.0%,"178,800","178,800",100.0%,100.0%,34
35,    賃貸料収入,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,35
36,    修繕費,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,36
37,    支払リース料,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,37
38,    保険料,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,38
39,    支払報酬,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,39
40,    販売手数料,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,40
41,    支払手数料,0,0,0,-,-,-,0,0,-,-,0,600,-,-,0,0,-,-,0,600,-,-,0,600,-,100.0%,41
42,    診断料,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,42
43,    諸会費,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,43
44,    会議費,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,44
45,    寄付金,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,45
46,    租税公課,0,0,0,-,-,-,"4,000","4,000",100.0%,-,"4,000","4,000",100.0%,-,"20,000","20,000",100.0%,-,"24,000","24,000",100.0%,-,"37,000","37,000",100.0%,-,46
47,    業務委託費,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,47
48,    業務受託収入,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,48
49,    システム管理料,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,49
50,    情報機器利用料,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,50
51,    貸倒金,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,51
52,    雑費,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,52
53,    福利消耗品費,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,53
54,    教育研修費,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,54
55,    廃棄損・減耗損,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,55
56,    雑給,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,56
57,    社内金利（固定資産）,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,57
58,    社内金利（売掛金）,"50,000","50,000","59,751",119.5%,119.5%,619.5%,"50,000","50,000",100.0%,449.8%,"150,000","172,116",114.7%,829.0%,"150,000","150,000",100.0%,236.6%,"300,000","322,116",107.3%,382.8%,"525,000","547,116",104.2%,148.0%,58
59,    社内金利（在庫）,0,0,0,-,-,-,0,0,-,-,0,358,-,-,0,0,-,0.0%,0,358,-,281.8%,0,358,-,31.9%,59
60,    開発口銭,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,60
61,    部門共通（経費）,"454,399","347,941","346,755",99.6%,76.3%,85.7%,"540,874","459,167",84.8%,78.7%,"1,543,092","1,417,304",91.8%,101.8%,"1,693,112","1,783,729",105.3%,124.1%,"3,236,204","3,201,033",98.9%,113.1%,"5,829,741","5,862,777",100.5%,104.5%,61
62,    グループ共通,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,62
63,差引収益,"-429,299","-322,841","-270,092",-,-,-,"-439,774","2,155,933",-,-,"-1,431,792","1,254,643",-,-,"1,382,188","1,528,571",110.5%,-,"-49,604","2,783,214",-,-,"2,539,459","681,120",26.8%,15.4%,63
64,差引比率,-53.6,-40.3,-19.4,-,-,-,-36.6,12.0,-,-,-55.0,6.1,-,-,6.9,7.0,101.4%,-,-0.2,6.6,-,-,2.5,1.2,48.0%,70.5%,64
65,総時間,309.75,309.75,303.75,98.0%,98.0%,83.9%,353.75,349.25,98.7%,91.0%,"1,011.25","1,001.25",99.0%,88.8%,973.75,974.00,100.0%,92.7%,"1,985.00","1,975.25",99.5%,90.7%,"3,971.50","3,961.75",99.7%,93.1%,65
66,    定時間,0.00,0.00,0.00,-,-,-,0.00,0.00,-,-,0.00,0.00,-,-,0.00,0.00,-,-,0.00,0.00,-,-,0.00,0.00,-,-,66
67,    残業時間,0.00,0.00,0.00,-,-,-,0.00,0.00,-,-,0.00,0.00,-,-,0.00,0.00,-,-,0.00,0.00,-,-,0.00,0.00,-,-,67
68,    移動時間,90.00,90.00,90.00,100.0%,100.0%,100.0%,90.00,90.00,100.0%,100.0%,270.00,270.00,100.0%,100.0%,270.00,270.00,100.0%,100.0%,540.00,540.00,100.0%,100.0%,"1,080.00","1,080.00",100.0%,100.0%,68
69,    部門共通（時間）,219.75,219.75,213.75,97.2%,97.2%,78.6%,263.75,259.25,98.2%,88.2%,741.25,731.25,98.6%,85.3%,703.75,704.00,100.0%,90.2%,"1,445.00","1,435.25",99.3%,87.7%,"2,891.50","2,881.75",99.6%,90.8%,69
70,当月時間当り,"-1,385.9","-1,042.2",-889.1,-,-,-,"-1,243.1","6,173.0",-,-,"-1,415.8","1,253.0",-,-,"1,419.4","1,569.3",110.5%,-,-24.9,"1,409.0",-,-,639.4,171.9,26.8%,16.5%,70
71,人員,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,71
,,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,
