25,    接待交際費,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,25
26,    研究開発費,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,26
27,    クレーム費,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,27
28,    賃借料,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,28
29,    賃貸料収入,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,29
30,    修繕費,"100,000",0,0,-,0.0%,-,"100,000",0,0.0%,0.0%,"300,000",848,0.2%,0.1%,"300,000","300,000",100.0%,141.9%,"600,000","300,848",50.1%,30.0%,"1,200,000","900,848",75.0%,38.8%,30
31,    支払リース料,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,31
32,    保険料,"27,000","27,000","1,533",5.6%,5.6%,5.8%,"27,000","27,000",100.0%,103.0%,"81,000","30,066",37.1%,38.2%,"81,000","81,000",100.0%,103.0%,"162,000","111,066",68.5%,70.6%,"324,000","273,066",84.2%,164.1%,32
33,    支払報酬,"13,000","13,000","15,600",120.0%,120.0%,120.0%,"51,000","51,000",100.0%,100.0%,"77,000","82,200",106.7%,106.7%,"356,000","356,000",100.0%,100.5%,"433,000","438,200",101.2%,101.6%,"511,000","516,200",101.0%,101.3%,33
34,    販売手数料,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,34
35,    支払手数料,"12,000","12,000","10,450",87.0%,87.0%,107.1%,"12,000","12,000",100.0%,104.8%,"112,000","108,800",97.1%,99.8%,"36,000","36,000",100.0%,110.5%,"148,000","144,800",97.8%,102.3%,"296,000","292,800",98.9%,103.3%,35
36,    診断料,0,0,0,-,-,-,0,0,-,-,0,0,-,-,"50,000","50,000",100.0%,-,"50,000","50,000",100.0%,-,"50,000","50,000",100.0%,-,36
37,    諸会費,"10,000","10,000","10,000",100.0%,100.0%,100.0%,0,0,-,-,"20,000","10,000",50.0%,100.0%,0,0,-,0.0%,"20,000","10,000",50.0%,52.6%,"20,000","10,000",50.0%,33.3%,37
38,    会議費,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,38
39,    寄付金,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,"1,000","1,000",100.0%,100.0%,39
40,    租税公課,0,0,600,-,-,-,"10,000","10,000",100.0%,100.0%,"188,000","340,600",181.1%,181.5%,0,0,-,0.0%,"188,000","340,600",181.1%,181.1%,"188,000","340,600",181.1%,180.9%,40
41,    業務委託費,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,41
42,    業務受託収入,"-397,800","-397,800","-397,800",-,-,-,"-397,800","-397,800",-,-,"-1,193,400","-1,193,400",-,-,"-1,193,400","-1,193,400",-,-,"-2,386,800","-2,386,800",-,-,"-4,773,600","-4,773,600",-,-,42
43,    システム管理料,0,0,0,-,-,-,0,0,-,-,0,0,-,-,"10,000","10,000",100.0%,96.1%,"10,000","10,000",100.0%,96.1%,"10,000","10,000",100.0%,96.1%,43
44,    情報機器利用料,"61,480","61,480","61,816",100.5%,100.5%,107.7%,"61,480","61,480",100.0%,107.2%,"184,440","185,112",100.3%,107.5%,"184,440","184,440",100.0%,100.3%,"368,880","369,552",100.1%,103.8%,"737,760","738,432",100.0%,100.4%,44
45,    貸倒金,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,45
46,    雑費,800,800,718,89.7%,89.7%,100.4%,800,800,100.0%,111.8%,"2,400","2,235",93.1%,104.1%,"28,600","28,600",100.0%,100.1%,"31,000","30,835",99.4%,100.4%,"66,000","65,835",99.7%,101.2%,46
47,    福利消耗品費,"60,000","60,000","6,014",10.0%,10.0%,59.7%,"10,000","61,750",617.5%,192.6%,"80,000","67,764",84.7%,144.1%,"75,000","75,000",100.0%,54.6%,"155,000","142,764",92.1%,77.4%,"215,000","202,764",94.3%,71.5%,47
48,    教育研修費,0,0,0,-,-,-,0,0,-,-,0,0,-,-,"40,000","40,000",100.0%,-,"40,000","40,000",100.0%,-,"40,000","40,000",100.0%,412.3%,48
49,    雑給,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,49
50,    グループ共通,"188,000","188,000","188,000",100.0%,100.0%,109.3%,"188,000","188,000",100.0%,109.3%,"564,000","564,000",100.0%,109.3%,"564,000","564,000",100.0%,109.3%,"1,128,000","1,128,000",100.0%,109.3%,"2,256,000","2,256,000",100.0%,109.3%,50
51,差引収益,"82,936","10,389,286","12,961,483",124.7%,-,126.8%,"23,936,936","10,971,986",45.8%,35.8%,"25,849,708","26,147,454",101.1%,59.4%,"6,901,508","6,377,708",92.4%,363.0%,"32,751,216","32,525,162",99.3%,71.1%,"34,206,692","34,980,638",102.2%,68.8%,51
52,差引比率,3.6,77.8,90.7,116.5%,-,102.2%,96.6,81.9,84.7%,85.3%,85.9,83.8,97.5%,92.3%,64.0,62.4,97.5%,217.4%,80.1,78.5,98.0%,93.7%,60.7,61.5,101.3%,86.8%,52
53,総時間,"2,412.75","2,412.75","2,264.75",93.8%,93.8%,93.7%,"2,246.00","2,269.00",101.0%,112.5%,"6,980.25","6,763.50",96.8%,102.5%,"3,164.50","3,164.50",100.0%,102.7%,"10,144.75","9,928.00",97.8%,102.6%,"21,048.25","20,831.50",98.9%,105.9%,53
54,    定時間,"2,304.00","2,304.00","2,112.25",91.6%,91.6%,94.8%,"2,208.00","2,208.00",100.0%,111.5%,"6,720.00","6,434.75",95.7%,105.2%,"3,197.00","3,197.00",100.0%,104.2%,"9,917.00","9,631.75",97.1%,104.9%,"20,635.00","20,349.75",98.6%,107.1%,54
55,    残業時間,108.00,108.00,134.75,124.7%,124.7%,72.2%,69.00,92.00,133.3%,147.7%,280.00,322.75,115.2%,66.1%,20.00,20.00,100.0%,32.1%,300.00,342.75,114.2%,62.3%,530.00,572.75,108.0%,73.6%,55
56,    移動時間,0.75,0.75,17.75,-,-,-,-31.00,-31.00,-,-,-19.75,6.00,-,-,-52.50,-52.50,-,-,-72.25,-46.50,-,-,-116.75,-91.00,-,-,56
57,当月時間当り,34.3,"4,305.9","5,723.1",132.9%,-,135.2%,"10,657.5","4,835.6",45.3%,31.8%,"3,703.2","3,865.9",104.3%,58.0%,"2,180.9","2,015.3",92.4%,353.1%,"3,228.3","3,276.1",101.4%,69.3%,"1,625.1","1,679.2",103.3%,65.0%,57
58,人員,18,18,18,100.0%,100.0%,94.7%,18,18,100.0%,94.7%,18,18,100.0%,94.7%,18,18,100.0%,112.5%,18,18,100.0%,100.0%,18,18,100.0%,105.8%,58
,,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,
