対象年月度	組織コード	明細No.	採算科目名	M/P	予定	実績	構成比(%)	予定比(%)	M/P比(%)	組織名	分類	採算科目名_経費合計
202607	006000000	69	社内金利（売掛金）	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸㈱	経費	社内金利（売掛金）
202607	006000000	70	グループ共通	339000.0	339000.0	339000.0	2.2	100.0	100.0	イノチオ農芸㈱	経費	グループ共通
202607	006000000	71	差引収益	-4905800.0	-2083327.0	-2377491.0	0.0	0.0	0.0	イノチオ農芸㈱		
202607	006000000	72	差引比率	-31.6	-14.0	-15.9		0.0	0.0	イノチオ農芸㈱		
202607	006000000	73	総時間	2317.0	2645.5	2781.5		105.1	120.0	イノチオ農芸㈱		
202607	006000000	74	定時間	2353.0	2693.0	2810.75		104.3	119.4	イノチオ農芸㈱	時間	
202607	006000000	75	残業時間	90.0	158.0	139.25		88.1	154.7	イノチオ農芸㈱	時間	
202607	006000000	76	移動時間	-126.0	-205.5	-168.5		0.0	0.0	イノチオ農芸㈱	時間	
202607	006000000	77	当月時間当り	-2117.3	-787.4	-854.7		0.0	0.0	イノチオ農芸㈱		
202607	006000000	78	人員	38.0	37.0	37.0		100.0	97.3	イノチオ農芸㈱		
202607	006090100	1	総受注高	0.0	0.0	0.0		0.0	0.0	イノチオ農芸本社	受注	
202607	006090100	2	総売上高	0.0	0.0	0.0		0.0	0.0	イノチオ農芸本社		
202607	006090100	3	売上高	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸本社	売上	
202607	006090100	4	グループ売上高	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸本社	売上	
202607	006090100	5	社内売上高	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸本社	売上	
202607	006090100	7	販売奨励金	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸本社	売上	
202607	006090100	8	売上原価	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸本社		
202607	006090100	9	仕入高	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸本社		
202607	006090100	10	グループ仕入高	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸本社		
202607	006090100	11	社内仕入高	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸本社		
202607	006090100	12	荷造運搬費	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸本社		
202607	006090100	13	販売手数料	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸本社		
202607	006090100	14	総収益	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸本社		
202607	006090100	15	経費合計	194000.0	194000.0	161469.0	0.0	83.2	83.2	イノチオ農芸本社		
202607	006090100	16	経費合計（原価）	176000.0	176000.0	150757.0	0.0	85.6	85.6	イノチオ農芸本社		
202607	006090100	17	種苗費*	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸本社	経費	種苗費*
202607	006090100	18	肥料費*	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸本社	経費	肥料費*
202607	006090100	19	培土費用*	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸本社	経費	培土費用*
202607	006090100	20	農薬衛生費*	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸本社	経費	農薬衛生費*
202607	006090100	21	農具費*	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸本社	経費	農具費*
202607	006090100	22	諸材料費*	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸本社	経費	諸材料費*
202607	006090100	23	その他仕入高*	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸本社	経費	その他仕入高*
202607	006090100	24	減価償却費*	119000.0	119000.0	118959.0	0.0	99.9	99.9	イノチオ農芸本社	経費	減価償却費*
202607	006090100	25	車両費*	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸本社	経費	車両費*
202607	006090100	26	水道光熱費*	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸本社	経費	水道光熱費*
202607	006090100	27	動力費*	40000.0	40000.0	16798.0	0.0	41.9	41.9	イノチオ農芸本社	経費	動力費*
202607	006090100	28	燃料費*	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸本社	経費	燃料費*
202607	006090100	29	賃借料*	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸本社	経費	賃借料*
202607	006090100	30	修繕費*	2000.0	2000.0	0.0	0.0	0.0	0.0	イノチオ農芸本社	経費	修繕費*
202607	006090100	31	診断料*	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸本社	経費	診断料*
202607	006090100	32	租税公課*	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸本社	経費	租税公課*
