27,    支払リース料,"10,346","10,345","10,343",99.9%,99.9%,20.5%,"6,989","6,989",100.0%,34.8%,"6,989","6,989",100.0%,34.8%,"45,291","45,282",99.9%,31.1%,"41,934","41,934",100.0%,31.8%,"87,225","87,216",99.9%,31.5%,27
28,    保険料,"1,243","1,242","1,242",100.0%,99.9%,43.4%,"1,243","1,243",100.0%,43.4%,"1,243","1,243",100.0%,43.4%,"27,306","27,301",99.9%,22.9%,"10,227","10,227",100.0%,49.9%,"37,533","37,528",99.9%,26.9%,28
29,    支払報酬,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,29
30,    販売手数料,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,30
31,    支払手数料,"13,260","13,259","9,930",74.8%,74.8%,39.0%,"8,394","8,394",100.0%,43.4%,"23,619","23,619",100.0%,57.7%,"79,557","69,186",86.9%,44.2%,"106,733","108,617",101.7%,61.2%,"186,290","177,803",95.4%,53.2%,31
32,    診断料,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,32
33,    諸会費,592,592,592,100.0%,100.0%,29.6%,0,0,-,-,0,0,-,-,"24,929","23,062",92.5%,21.6%,"11,789","13,789",116.9%,13.7%,"36,718","36,851",100.3%,17.7%,33
34,    会議費,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,34
35,    寄付金,0,0,0,-,-,-,0,0,-,0.0%,"1,500","1,500",100.0%,44.9%,"1,750","1,500",85.7%,29.9%,150,150,100.0%,11.2%,"1,900","1,650",86.8%,26.0%,35
36,    租税公課,"42,960","42,960","42,858",99.7%,99.7%,30.1%,"1,500","1,500",100.0%,88.8%,0,0,-,0.0%,"91,900","91,188",99.2%,30.7%,"84,726","84,726",100.0%,29.7%,"176,626","175,914",99.5%,30.2%,36
37,    業務委託費,0,0,0,-,-,0.0%,0,0,-,0.0%,0,0,-,0.0%,0,0,-,0.0%,0,0,-,0.0%,0,0,-,0.0%,37
38,    業務受託収入,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,38
39,    システム管理料,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,"9,990",-,-,0,0,-,-,0,"9,990",-,-,39
40,    情報機器利用料,"811,204","811,204","811,204",100.0%,100.0%,35.7%,"811,204","811,204",100.0%,35.7%,"811,204","811,204",100.0%,35.7%,"4,867,224","4,867,224",100.0%,35.7%,"4,867,224","4,867,224",100.0%,35.8%,"9,734,448","9,734,448",100.0%,35.8%,40
41,    貸倒金,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,41
42,    雑費,"8,202","8,202","8,931",108.8%,108.8%,49.5%,"13,632","13,534",99.2%,36.9%,"8,102","8,102",100.0%,22.5%,"64,832","65,661",101.2%,35.9%,"90,862","90,862",100.0%,44.8%,"155,694","156,523",100.5%,40.6%,42
43,    福利消耗品費,500,500,"6,242",-,-,46.8%,500,500,100.0%,4.2%,"6,450","6,450",100.0%,91.5%,"145,315","65,128",44.8%,24.8%,"4,600","4,600",100.0%,10.0%,"149,915","69,728",46.5%,22.6%,43
44,    教育研修費,"15,572","5,116","5,115",99.9%,32.8%,17.3%,"5,117","5,117",100.0%,31.8%,"355,117","355,117",100.0%,-,"405,274","391,124",96.5%,232.3%,"330,702","330,702",100.0%,243.6%,"735,976","721,826",98.0%,237.3%,44
45,    廃棄損・減耗損,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,45
46,    雑給,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,46
47,    社内金利（固定資産）,"12,205","12,205","12,204",99.9%,99.9%,29.1%,"12,095","12,095",100.0%,29.0%,"11,985","11,985",100.0%,29.0%,"73,574","73,566",99.9%,29.1%,"69,692","69,692",100.0%,29.0%,"143,266","143,258",99.9%,29.1%,47
48,    社内金利（売掛金）,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,48
49,    社内金利（在庫）,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,49
50,    部門共通（経費）,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,50
51,    全社共通（経費）,"-1,607,154","-1,589,394","-1,523,118",-,-,-,"-1,465,599","-1,455,964",-,-,"-1,827,961","-1,877,594",-,-,"-10,208,179","-10,181,425",-,-,"-9,485,296","-9,477,392",-,-,"-19,693,475","-19,658,817",-,-,51
52,    グループ共通,"264,400","264,400","264,400",100.0%,100.0%,26.0%,"264,400","264,400",100.0%,26.0%,"264,400","264,400",100.0%,26.0%,"1,586,400","1,586,400",100.0%,26.0%,"1,586,400","1,586,400",100.0%,26.0%,"3,172,800","3,172,800",100.0%,26.0%,52
53,差引収益,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,53
54,差引比率,0.0,0.0,0.0,-,-,-,0.0,0.0,-,-,0.0,0.0,-,-,0.0,0.0,-,-,0.0,0.0,-,-,0.0,0.0,-,-,54
55,総時間,0.00,0.00,0.00,-,-,-,0.00,0.00,-,-,0.00,0.00,-,-,0.00,0.00,-,-,0.00,0.00,-,-,0.00,0.00,-,-,55
56,    定時間,"2,232.00","2,176.00","2,138.00",98.2%,95.7%,25.4%,"1,747.50","1,739.50",99.5%,27.9%,"1,925.50","1,925.50",100.0%,25.8%,"12,090.50","12,049.25",99.6%,26.0%,"11,609.00","11,609.00",100.0%,26.4%,"23,699.50","23,658.25",99.8%,26.2%,56
57,    残業時間,105.25,104.00,121.25,116.5%,115.2%,30.9%,93.75,93.75,100.0%,25.0%,124.00,124.00,100.0%,29.6%,644.50,828.50,128.5%,29.4%,608.25,608.25,100.0%,27.8%,"1,252.75","1,436.75",114.6%,28.7%,57
58,    移動時間,-107.00,-107.00,-108.50,-,-,-,-84.00,-84.00,-,-,-96.00,-96.00,-,-,-597.00,-602.00,-,-,-550.00,-550.00,-,-,"-1,147.00","-1,152.00",-,-,58
59,    部門共通（時間）,0.00,0.00,0.00,-,-,-,0.00,0.00,-,-,0.00,0.00,-,-,0.00,0.00,-,-,0.00,0.00,-,-,0.00,0.00,-,-,59
60,    全社共通（時間）,"-2,230.25","-2,173.00","-2,150.75",-,-,-,"-1,757.25","-1,749.25",-,-,"-1,953.50","-1,953.50",-,-,"-12,138.00","-12,275.75",-,-,"-11,667.25","-11,667.25",-,-,"-23,805.25","-23,943.00",-,-,60
61,当月時間当り,0.0,0.0,0.0,-,-,-,0.0,0.0,-,-,0.0,0.0,-,-,0.0,0.0,-,-,0.0,0.0,-,-,0.0,0.0,-,-,61
62,人員,13,13,13,100.0%,100.0%,25.0%,13,13,100.0%,25.0%,13,13,100.0%,25.0%,13,13,100.0%,25.0%,13,13,100.0%,25.0%,13,13,100.0%,25.0%,62
,,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,
