対象年月度	組織コード	明細No.	採算科目名	M/P	予定	実績	構成比(%)	予定比(%)	M/P比(%)	組織名
202207	230W60100	22	車両費	101690.0	101690.0	98503.0	0.0	96.8	96.8	管理購買部
202207	230W60100	23	旅費交通費	5000.0	162000.0	4908.0	0.0	3.0	98.1	管理購買部
202207	230W60100	24	荷造運搬費	950000.0	1420000.0	802661.0	0.0	56.5	84.4	管理購買部
202207	230W60100	25	通信費	15806.0	18358.0	19614.0	0.0	106.8	124.0	管理購買部
202207	230W60100	26	水道光熱費	2700.0	2700.0	2540.0	0.0	94.0	94.0	管理購買部
202207	230W60100	27	動力費	0.0	0.0	0.0	0.0	0.0	0.0	管理購買部
202207	230W60100	28	燃料費	0.0	0.0	0.0	0.0	0.0	0.0	管理購買部
202207	230W60100	29	事務用品費	35000.0	35000.0	81237.0	0.0	232.1	232.1	管理購買部
202207	230W60100	30	消耗品費	20000.0	20000.0	19232.0	0.0	96.1	96.1	管理購買部
202207	230W60100	31	廃棄物処理料	16000.0	16000.0	16000.0	0.0	100.0	100.0	管理購買部
202207	230W60100	32	広告宣伝費	0.0	0.0	0.0	0.0	0.0	0.0	管理購買部
202207	230W60100	33	接待交際費	0.0	30000.0	0.0	0.0	0.0	0.0	管理購買部
202207	230W60100	34	研究開発費	0.0	0.0	0.0	0.0	0.0	0.0	管理購買部
202207	230W60100	35	クレーム費	0.0	0.0	0.0	0.0	0.0	0.0	管理購買部
202207	230W60100	36	賃借料	56500.0	56500.0	56000.0	0.0	99.1	99.1	管理購買部
202207	230W60100	37	賃貸料収入	-10000.0	-10000.0	-10000.0	0.0	0.0	0.0	管理購買部
202207	230W60100	45	修繕費	30000.0	30000.0	0.0	0.0	0.0	0.0	管理購買部
202207	230W60100	46	支払リース料	0.0	0.0	0.0	0.0	0.0	0.0	管理購買部
202207	230W60100	47	保険料	4860.0	4860.0	4590.0	0.0	94.4	94.4	管理購買部
202207	230W60100	48	支払報酬	568500.0	568500.0	601920.0	0.0	105.8	105.8	管理購買部
202207	230W60100	49	販売手数料	0.0	0.0	0.0	0.0	0.0	0.0	管理購買部
202207	230W60100	50	支払手数料	27000.0	27000.0	149156.0	0.0	552.4	552.4	管理購買部
202207	230W60100	51	診断料	0.0	0.0	0.0	0.0	0.0	0.0	管理購買部
202207	230W60100	52	諸会費	21000.0	21000.0	31000.0	0.0	147.6	147.6	管理購買部
202207	230W60100	53	会議費	0.0	0.0	488.0	0.0	0.0	0.0	管理購買部
202207	230W60100	54	寄付金	0.0	0.0	0.0	0.0	0.0	0.0	管理購買部
202207	230W60100	55	租税公課	47200.0	224800.0	20400.0	0.0	9.0	43.2	管理購買部
202207	230W60100	56	業務委託費	0.0	0.0	0.0	0.0	0.0	0.0	管理購買部
202207	230W60100	57	業務受託収入	0.0	0.0	0.0	0.0	0.0	0.0	管理購買部
202207	230W60100	58	システム管理料	0.0	0.0	0.0	0.0	0.0	0.0	管理購買部
202207	230W60100	59	情報機器利用料	22320.0	22320.0	31300.0	0.0	140.2	140.2	管理購買部
202207	230W60100	60	貸倒金	0.0	0.0	0.0	0.0	0.0	0.0	管理購買部
202207	230W60100	61	雑費	89025.0	89025.0	89560.0	0.0	100.6	100.6	管理購買部
202207	230W60100	62	福利消耗品費	0.0	0.0	834.0	0.0	0.0	0.0	管理購買部
