40,    福利消耗品費,"21,500","21,500",537,2.4%,2.4%,2.5%,0,"16,000",-,-,"55,200","34,657",62.7%,163.0%,"17,320","17,320",100.0%,-,"72,520","51,977",71.6%,244.5%,"74,020","53,477",72.2%,173.7%,40
41,    教育研修費,0,0,0,-,-,-,0,0,-,-,0,0,-,-,"13,643","13,643",100.0%,41.5%,"13,643","13,643",100.0%,41.5%,"35,286","35,286",100.0%,67.5%,41
42,    雑給,0,0,0,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,-,42
43,    社内金利（固定資産）,"10,922","10,922","11,022",100.9%,100.9%,77.5%,"10,596","10,596",100.0%,76.4%,"32,767","32,975",100.6%,77.3%,"29,830","29,830",100.0%,75.6%,"62,597","62,805",100.3%,76.5%,"113,444","113,652",100.1%,75.1%,43
44,差引収益,"429,135","429,135","119,710",27.8%,27.8%,11.0%,"441,829","369,779",83.6%,35.5%,"826,312","328,210",39.7%,7.5%,"2,571,022","2,633,872",102.4%,51.2%,"3,397,334","2,962,082",87.1%,31.2%,"11,844,982","11,535,430",97.3%,53.0%,44
45,差引比率,29.1,29.1,9.1,31.2%,31.2%,18.2%,28.3,23.9,84.4%,51.0%,19.5,8.0,41.0%,14.3%,43.8,44.9,102.5%,84.3%,33.6,29.8,88.6%,54.8%,46.6,45.7,98.0%,82.0%,45
46,総時間,700.00,717.00,712.00,99.3%,101.7%,61.7%,819.00,819.00,100.0%,64.8%,"2,360.00","2,269.50",96.1%,63.3%,"2,270.00","2,270.00",100.0%,66.8%,"4,630.00","4,539.50",98.0%,65.0%,"9,137.50","9,047.00",99.0%,66.2%,46
47,    定時間,669.00,686.00,682.00,99.4%,101.9%,62.3%,809.50,809.50,100.0%,68.6%,"2,290.00","2,194.00",95.8%,64.7%,"2,231.00","2,231.00",100.0%,69.2%,"4,521.00","4,425.00",97.8%,66.9%,"9,016.00","8,920.00",98.9%,71.4%,47
48,    残業時間,70.00,70.00,69.00,98.5%,98.5%,90.1%,55.00,55.00,100.0%,66.8%,200.00,205.50,102.7%,88.9%,165.00,165.00,100.0%,68.6%,365.00,370.50,101.5%,78.5%,695.00,700.50,100.7%,72.0%,48
49,    移動時間,-39.00,-39.00,-39.00,-,-,-,-45.50,-45.50,-,-,-130.00,-130.00,-,-,-126.00,-126.00,-,-,-256.00,-256.00,-,-,-573.50,-573.50,-,-,49
50,当月時間当り,613.0,598.5,168.1,28.0%,27.4%,17.9%,539.4,451.5,83.7%,54.8%,350.1,144.6,41.3%,11.9%,"1,132.6","1,160.2",102.4%,76.6%,733.7,652.5,88.9%,48.0%,"1,296.3","1,275.0",98.3%,79.9%,50
51,人員,6,6,6,100.0%,100.0%,75.0%,6,6,100.0%,75.0%,6,6,100.0%,75.0%,6,6,100.0%,75.0%,6,6,100.0%,75.0%,6,6,100.0%,75.0%,51
,,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,
